skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q214855,Башня Банка Китая,367.4,70,Китай,Гонконг,1990,Бэй Юймин
http://www.wikidata.org/entity/Q212831,"Эксчендж-Плейс, 20",226,57,США,Манхэттен,1931,Cross & Cross
http://www.wikidata.org/entity/Q336246,Агбар,144,34,Испания,El Parc i la Llacuna del Poblenou,2005,Жан Нувель
http://www.wikidata.org/entity/Q214855,Башня Банка Китая,367.4,70,Китай,Центральный и Западный округ Гонконга,1990,Бэй Юймин
http://www.wikidata.org/entity/Q244391,Дженерал-электрик-билдинг,195,50,США,Манхэттен,1931,Cross & Cross
http://www.wikidata.org/entity/Q217727,Центр Джона Хэнкока,344,,США,Чикаго,1969,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q264203,Vegas World,,,США,Невада,1979,
http://www.wikidata.org/entity/Q271695,Аон-центр,69.8,83,США,Чикаго,1973,Эдуард Дьюрелл Стоун
http://www.wikidata.org/entity/Q247799,Oxford Tower,150,46,Польша,Средместье,1978,Halina Świergocka-Kaim
http://www.wikidata.org/entity/Q247799,Oxford Tower,150,46,Польша,Средместье,1978,Wojciech Grzybowski
http://www.wikidata.org/entity/Q216264,23-Marina,392.4,89,Объединённые Арабские Эмираты,Дубай,2012,Hafeez Contractor
http://www.wikidata.org/entity/Q217727,Центр Джона Хэнкока,344,,США,Чикаго,1969,Брюс Грэм
http://www.wikidata.org/entity/Q217727,Центр Джона Хэнкока,344,,США,Чикаго,1969,Фазлур Хан
http://www.wikidata.org/entity/Q296392,Arag-Tower,124.9,32,Германия,Дюссельдорф,2001,Foster and Partners
http://www.wikidata.org/entity/Q236201,Башня Сёньхин,384,69,Китай,Guiyuan Subdistrict,1996,
http://www.wikidata.org/entity/Q328507,Hochhaus Uptown München,146,38,Германия,Моозах,2004,Ingenhoven Architects
http://www.wikidata.org/entity/Q280910,Vdara,,57,США,Невада,2009,Рафаэль Виньоли
http://www.wikidata.org/entity/Q212834,20 Fenchurch Street,160,36,Великобритания,Лондонский Сити,2014,Рафаэль Виньоли
http://www.wikidata.org/entity/Q328491,Bayer-Hochhaus,122,32,Германия,Леверкузен,1963,
http://www.wikidata.org/entity/Q252160,McKesson Plaza,,38,США,Сан-Франциско,1969,Welton Becket
http://www.wikidata.org/entity/Q321291,Майнтауэр,200,56,Германия,Инненштадт I,1999,
http://www.wikidata.org/entity/Q247799,Oxford Tower,150,46,Польша,Средместье,1978,Ежи Скшипчак
http://www.wikidata.org/entity/Q247531,Silberturm,166.3,32,Германия,Инненштадт I,1978,
http://www.wikidata.org/entity/Q244391,Дженерал-электрик-билдинг,195,50,США,Манхэттен,1931,John Walter Cross
http://www.wikidata.org/entity/Q217827,250 East 57th Street,218,65,США,Манхэттен,2016,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q217652,Вулворт-билдинг,241,58,США,Трайбека,1912,Кэсс Гильберт
